Concurso,Data do Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Cidade / UF,Rateio 6 acertos,Ganhadores 5 acertos,Cidade/UF 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Cidade/UF 4 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada,Observação
54,16/03/1997,05,09,18,21,36,56,2,,7469653.99,207,,7033.61,13067,,111.2,,0.0,0.0,,Ganhadores dos estados: BA e SP.
55,23/03/1997,02,14,23,29,38,52,0,,0.0,66,,10817.63,3840,,185.56,,0.0,0.0,,
56,30/03/1997,02,07,20,35,51,59,0,,0.0,48,,12142.2,2599,,223.81,,0.0,0.0,,
57,06/04/1997,07,16,17,27,34,59,0,,0.0,79,,10699.1,6173,,136.65,,0.0,0.0,,
58,13/04/1997,12,27,30,37,44,49,1,,3631304.91,65,,13601.07,5040,,175.06,,0.0,0.0,,Ganhador do Estado: SP
59,20/04/1997,02,08,13,28,34,54,0,,0.0,90,,7312.34,5351,,122.75,,0.0,0.0,,
60,27/04/1997,03,14,15,20,21,38,0,,0.0,129,,7111.47,7914,,115.69,,0.0,0.0,,
61,04/05/1997,08,18,29,42,44,59,0,,0.0,52,,18902.94,3866,,253.76,,0.0,0.0,,
62,11/05/1997,06,08,13,24,31,52,0,,0.0,119,,9968.7,8613,,137.46,,0.0,0.0,,
63,18/05/1997,09,25,26,40,41,49,1,,13680019.57,82,,16246.91,6359,,209.1,,0.0,0.0,,
64,25/05/1997,08,12,23,50,54,60,0,,0.0,29,,23309.96,2441,,276.38,,0.0,0.0,,
65,01/06/1997,01,05,20,25,32,34,0,,0.0,61,,11542.37,4932,,142.48,,0.0,0.0,,
66,08/06/1997,12,13,15,26,33,48,0,,0.0,102,,8054.25,7686,,106.68,,0.0,0.0,,
67,15/06/1997,12,14,17,27,47,52,0,,0.0,83,,10617.25,5479,,160.52,,0.0,0.0,,
68,22/06/1997,01,03,12,13,53,59,0,,0.0,49,,18496.73,4758,,190.11,,0.0,0.0,,
69,29/06/1997,25,34,45,53,56,58,0,,0.0,55,,17271.48,3661,,258.96,,0.0,0.0,,
70,06/07/1997,17,23,27,40,43,58,0,,0.0,95,,12899.52,6071,,201.46,,0.0,0.0,,
71,13/07/1997,16,27,33,43,45,53,0,,0.0,115,,12451.74,7430,,192.35,,0.0,0.0,,
72,20/07/1997,01,19,34,43,44,48,0,,0.0,85,,19676.33,7982,,209.13,,0.0,0.0,,
73,27/07/1997,25,26,28,45,51,57,1,,21026575.4,95,,21205.27,8222,,244.52,,0.0,0.0,,GANHADOR: BA - SALVADOR
74,03/08/1997,02,24,34,37,38,50,0,,0.0,40,,18257.68,3321,,219.48,,0.0,0.0,,
75,10/08/1997,21,24,35,36,37,49,0,,0.0,70,,12395.02,5032,,172.09,,0.0,0.0,,
76,17/08/1997,08,17,18,23,33,53,0,,0.0,92,,10247.61,6399,,147.04,,0.0,0.0,,
77,24/08/1997,21,29,40,49,54,57,0,,0.0,20,,49648.81,2635,,376.09,,0.0,0.0,,
78,31/08/1997,12,22,25,31,32,46,0,,0.0,103,,9907.36,5984,,170.19,,0.0,0.0,,
79,07/09/1997,02,13,17,25,31,43,1,,6770601.75,247,,4404.85,13375,,81.18,,0.0,0.0,,O ganhador da SENA do Estado do Rio Grande do Sul
80,14/09/1997,23,28,37,40,48,51,0,,0.0,43,,26443.0,4284,,264.89,,0.0,0.0,,
81,21/09/1997,10,23,41,47,54,60,0,,0.0,62,,19453.15,4870,,247.17,,0.0,0.0,,
82,28/09/1997,15,18,29,36,51,53,1,,13877826.02,77,,15982.73,5889,,208.57,,0.0,0.0,,Ganhador da SENA do Estado da Bahia.
83,05/10/1997,04,15,16,24,42,57,0,,0.0,76,,9408.43,4756,,150.04,,0.0,0.0,,
84,12/10/1997,04,06,10,25,34,40,0,,0.0,102,,7539.68,5546,,138.4,,0.0,0.0,,
85,19/10/1997,06,15,30,37,45,47,0,,0.0,45,,17279.25,4312,,179.96,,0.0,0.0,,
86,26/10/1997,06,21,22,34,36,54,0,,0.0,48,,16752.96,3752,,213.9,,0.0,0.0,,
87,02/11/1997,04,05,11,28,32,40,0,,0.0,64,,12696.6,5195,,156.11,,0.0,0.0,,A SENA ESTA ACUMULADA.
88,09/11/1997,04,18,29,37,43,45,0,,0.0,110,,7965.82,6805,,128.51,,0.0,0.0,,A MEGASENA ESTA ACUMULADA
89,16/11/1997,13,34,42,44,55,59,0,,0.0,36,,24246.0,3847,,226.45,,0.0,0.0,,A MEGA SENA EST- ACUMULADA.
90,23/11/1997,09,21,26,40,52,54,1,,15764300.87,74,,18584.49,4763,,288.17,,0.0,0.0,,ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
91,30/11/1997,02,04,10,35,39,60,0,,0.0,68,,9588.8,3878,,167.81,,0.0,0.0,,
92,07/12/1997,01,03,05,23,24,51,0,,0.0,75,,9792.64,5530,,132.56,,0.0,0.0,,
93,14/12/1997,02,22,28,31,36,53,0,,0.0,61,,12369.31,3795,,198.44,,0.0,0.0,,
94,21/12/1997,08,18,28,51,52,55,0,,0.0,25,,31457.49,2086,,376.26,,0.0,0.0,,
95,28/12/1997,06,40,45,46,50,60,0,,0.0,22,,30807.89,2185,,309.58,,0.0,0.0,,
96,04/01/1998,04,07,26,40,42,58,1,,5218562.47,62,,11993.17,3984,,186.27,,0.0,0.0,,Ganhador da SENA do Estado da Bahia.
97,11/01/1998,05,11,14,35,53,56,1,,727932.66,56,,10832.33,3441,,175.94,,0.0,0.0,,Ganhador da SENA do Estado de Minas Gerais.
98,18/01/1998,13,14,31,33,35,43,0,,0.0,89,,6508.88,4972,,116.28,,0.0,0.0,,
99,25/01/1998,11,24,30,33,46,60,0,,0.0,46,,14037.92,3015,,213.76,,0.0,0.0,,A MEGA EST- ACUMULADA ! ! !
100,01/02/1998,14,29,30,46,48,51,0,,0.0,56,,15930.48,3600,,247.32,,0.0,0.0,,
101,08/02/1998,01,18,29,31,37,39,0,,0.0,52,,20589.41,4653,,229.64,,0.0,0.0,,A MEGA EST-  A C U M U L A D A  ! ! !
102,15/02/1998,19,20,37,42,44,56,1,,11336626.88,73,,16743.36,6197,,196.85,,0.0,0.0,,Ganhador da SENA do Estado de Minas Gerais.
103,22/02/1998,01,07,09,49,54,57,1,,696984.24,28,,20743.58,2632,,220.24,,0.0,0.0,,GANHADOR DA SENA DO ESTADO DO PARAN-
104,01/03/1998,01,04,13,21,38,52,0,,0.0,37,,14006.33,2588,,199.85,,0.0,0.0,,A C U M U L O U !!!
105,08/03/1998,03,13,31,43,46,49,0,,0.0,55,,11824.08,4875,,133.14,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA ! ! !
106,15/03/1998,05,16,24,35,38,39,0,,0.0,94,,7678.27,5390,,133.65,,9795278.0,3000000.0,,
107,22/03/1998,02,04,16,24,51,52,0,,0.0,35,,21494.23,3554,,211.26,,0.0,0.0,,A MEGA EST- ACUMULADA ! ! !
108,29/03/1998,21,24,29,34,59,60,0,,0.0,35,,22511.72,2453,,320.57,,0.0,0.0,,
109,04/04/1998,01,13,44,48,49,54,0,,0.0,39,,21153.3,3881,,212.15,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA ! ! !
110,11/04/1998,18,31,43,52,57,58,0,,0.0,35,,27771.48,3212,,302.01,,0.0,0.0,,
111,18/04/1998,04,22,25,32,33,52,0,,0.0,68,,18082.94,6109,,200.88,,0.0,0.0,,
112,25/04/1998,12,20,34,37,42,43,1,,15802579.93,137,,9957.01,8340,,163.25,,0.0,0.0,,"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
113,02/05/1998,07,26,28,34,54,55,0,,0.0,38,,14269.55,2572,,210.4,,0.0,0.0,,
114,09/05/1998,06,12,18,37,47,54,0,,0.0,71,,9626.08,4908,,138.99,,0.0,0.0,,
115,16/05/1998,04,06,14,20,24,38,0,,0.0,78,,9283.1,5091,,141.95,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA !!!
116,23/05/1998,05,13,32,36,42,51,0,,0.0,64,,11956.28,5270,,144.91,,10384878.0,4200000.0,,
117,30/05/1998,20,25,27,33,42,53,0,,0.0,36,,22046.87,3822,,207.26,,0.0,0.0,,
118,06/06/1998,09,22,25,37,56,57,0,,0.0,53,,16052.88,4342,,195.56,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA ! ! !
119,13/06/1998,01,21,36,38,47,50,0,,0.0,21,,38921.16,2691,,303.13,,0.0,0.0,,
120,20/06/1998,03,16,27,40,45,46,0,,0.0,92,,13020.97,7073,,169.04,,0.0,0.0,,
121,27/06/1998,02,29,41,44,53,55,0,,0.0,45,,28917.0,4554,,285.17,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA ! ! !
122,04/07/1998,11,17,20,39,43,53,0,,0.0,83,,18210.45,7203,,209.43,,0.0,0.0,,
123,11/07/1998,13,14,16,26,32,42,0,,0.0,176,,12440.56,13159,,166.06,,0.0,0.0,,A MEGA-SENA ACUMULOU (11¬ Vez)
124,18/07/1998,05,15,34,41,52,57,1,,24536288.72,188,,17242.12,14019,,230.76,,0.0,0.0,,O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
125,25/07/1998,25,41,47,53,56,59,0,,0.0,46,,15425.68,2784,,254.38,,0.0,0.0,,
126,01/08/1998,06,10,11,28,32,40,0,,0.0,83,,10052.56,5510,,151.13,,0.0,0.0,,A MEGA-SENA EST- ACUMULADA ! ! !
127,08/08/1998,21,29,50,51,54,59,0,,0.0,40,,23638.47,2613,,361.14,,0.0,0.0,,
128,15/08/1998,03,09,18,21,23,43,0,,0.0,973,,1024.41,11715,,84.91,,0.0,0.0,,
129,22/08/1998,01,09,10,32,46,54,0,,0.0,67,,15634.41,5320,,196.51,,0.0,0.0,,A MEGA-SENA EST- BIG ACUMULADA ! ! !
130,29/08/1998,13,29,38,42,49,53,0,,0.0,155,,11796.24,11403,,160.03,,0.0,0.0,,
131,05/09/1998,04,09,17,27,30,44,0,,0.0,361,,6811.67,21683,,113.19,,0.0,0.0,,
132,12/09/1998,07,09,35,41,44,50,0,,0.0,143,,20846.64,12179,,244.29,,0.0,0.0,,"A MEGA CONTINUA ACUMULADA - Previsão de Prêmio para o Conc.133 = 29.000.000,00"
133,19/09/1998,05,06,19,34,39,57,1,,30533241.12,431,,10035.16,29264,,147.51,,0.0,0.0,,ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
134,26/09/1998,04,25,32,36,52,60,0,,0.0,82,,10253.38,4575,,183.42,,0.0,0.0,,
135,03/10/1998,21,22,35,40,53,59,0,,0.0,40,,24573.18,3604,,272.19,,0.0,0.0,,A MEGA-SENA ESTÁ ACUMULADA ! ! !
136,10/10/1998,01,17,25,38,45,59,0,,0.0,126,,8435.36,7403,,143.29,,0.0,0.0,,
137,17/10/1998,15,16,19,22,26,49,0,,0.0,88,,12675.49,6701,,166.13,,0.0,0.0,,A MEGA-SENA ESTÁ ACUMULADA ! ! !
138,24/10/1998,05,14,27,37,40,41,0,,0.0,86,,14074.36,6953,,173.74,,0.0,0.0,,
139,31/10/1998,03,13,26,27,41,42,2,,3902486.14,179,,7216.46,9401,,137.14,,0.0,0.0,,02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)
140,07/11/1998,07,31,41,44,46,55,0,,0.0,45,,36581.33,4945,,332.24,,0.0,0.0,,
141,14/11/1998,10,13,22,41,42,58,0,,0.0,119,,20106.1,10533,,226.7,,0.0,0.0,,A MEGA-SENA ESTÁ ACUMULADA.  PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !
142,21/11/1998,08,15,19,20,54,59,0,,0.0,162,,18143.56,13991,,209.66,,0.0,0.0,,A MEGA-SENA  CONTINUA   A C U M U L A A A D A !
143,28/11/1998,06,18,20,40,50,53,0,,0.0,144,,24792.99,10994,,324.1,,0.0,0.0,,A MEGA ACUMULOU  E  A  BOLADA ESTARÁ BEM MAIOR ! ! !
144,05/12/1998,08,32,36,44,45,55,1,,33597755.21,257,,20952.14,23952,,224.38,,0.0,0.0,,ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO.
145,12/12/1998,15,16,31,41,43,51,0,,0.0,71,,15061.27,3389,,314.91,,0.0,0.0,,A C U M U L O U  ! ! !
146,19/12/1998,25,32,34,42,51,60,0,,0.0,51,,23923.45,4079,,298.52,,0.0,0.0,,
147,24/12/1998,06,16,23,24,28,38,1,,3805750.38,75,,11760.17,5418,,162.48,,0.0,0.0,,01 Ganhador da MEGA  -  Distrito Federal
148,31/12/1998,32,35,41,55,58,59,0,,0.0,15,,53660.04,2322,,345.95,,0.0,0.0,,
149,09/01/1999,07,11,20,28,45,48,0,,0.0,106,,9795.13,6290,,164.74,,0.0,0.0,,"A MEGA ACUMULOU - O prêmio do CONC.150 pode chegar a 21,2 Milhões."
150,16/01/1999,12,44,50,52,54,55,0,,0.0,56,,36378.71,5540,,367.0,,0.0,0.0,,
151,23/01/1999,03,16,20,43,52,56,1,,24091811.02,152,,14678.07,9869,,225.62,,0.0,0.0,,Ganhador da SENA do Estado do Rio Grande do Norte.
152,30/01/1999,05,12,15,29,51,58,0,,0.0,75,,11562.39,5041,,172.03,,0.0,0.0,,A MEGA-SENA acumulou em mais de 1 milhão de reais.
153,06/02/1999,02,30,31,42,45,47,0,,0.0,47,,22846.45,4218,,254.57,,0.0,0.0,,
154,13/02/1999,08,10,24,33,45,48,0,,0.0,144,,7888.29,9252,,122.78,,0.0,0.0,,"A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999"
155,20/02/1999,12,30,32,35,43,44,1,,4988808.21,67,,16126.32,4974,,217.22,,0.0,0.0,,Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná.
156,27/02/1999,17,23,42,49,52,55,0,,0.0,74,,11018.1,4455,,183.02,,0.0,0.0,,A MEGA-SENA   está  A C U M U L A D A !!!
157,06/03/1999,04,13,17,21,41,44,1,,2140030.92,134,,7224.03,8894,,108.84,,0.0,0.0,,Ganhador da SENA do Estado de Goiás.
158,13/03/1999,04,14,17,43,51,58,0,,0.0,31,,25856.53,3630,,220.81,,0.0,0.0,,A  Mega-Sena   A C U M U L O U  !!!
159,20/03/1999,09,11,16,35,50,58,1,,2038170.67,57,,15735.49,4124,,217.49,,0.0,0.0,,Ganhador da SENA do Estado do Paraná.
160,27/03/1999,02,13,42,52,54,58,0,,0.0,74,,19431.89,6132,,234.5,,0.0,0.0,,"A MEGA está acumulada - o Prêmio do Concurso 161, poderá chegar a R$  13 Milhões"
161,03/04/1999,06,25,30,37,39,41,0,,0.0,95,,14430.61,6865,,199.69,,0.0,0.0,,
162,10/04/1999,21,23,33,38,48,51,0,,0.0,92,,20941.3,7244,,265.96,,0.0,0.0,,
163,17/04/1999,08,27,36,41,53,56,2,,8975833.36,146,,15657.23,10793,,211.8,,0.0,0.0,,02 Ganhadores da MEGA:  Distrito Federal e Mato Grosso do Sul
164,24/04/1999,04,10,14,19,28,44,0,,0.0,111,,7595.63,8386,,100.54,,0.0,0.0,,"A Mega-Sena  ACUMULOU em: R$ 1.011.737,90"
165,01/05/1999,10,19,23,35,39,56,2,,1044444.54,75,,11968.35,5378,,166.91,,0.0,0.0,,Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco.
